"","id","age","workclass","fnlwgt","education","education.num","marital.status","occupation","relationship","race","sex","hours.per.week","native.country","salary","age_cat"
"18",18,32,"Private",186824,"HS-grad",9,"Not-Married","Blue-Collar","Unmarried","White","Male",40," United-States",0,"cat_2"
"19",19,38,"Private",28887,"11th",7,"Married","Sales","Husband","White","Male",50," United-States",0,"cat_3"
"20",20,43,"Self-Employed",292175,"Masters",14,"Not-Married","White-Collar","Unmarried","White","Female",45," United-States",1,"cat_3"
"21",21,40,"Private",193524,"Doctorate",16,"Married","Professional","Husband","White","Male",60," United-States",1,"cat_3"
"22",22,54,"Private",302146,"HS-grad",9,"Not-Married","Service","Unmarried","Black","Female",20," United-States",0,"cat_4"
"23",23,35,"Federal-Govt",76845,"9th",5,"Married","Blue-Collar","Husband","Black","Male",40," United-States",0,"cat_3"
"24",24,43,"Private",117037,"11th",7,"Married","Blue-Collar","Husband","White","Male",40," United-States",0,"cat_3"
"25",25,59,"Private",109015,"HS-grad",9,"Not-Married","Other-Occupations","Unmarried","White","Female",40," United-States",0,"cat_4"
"26",26,56,"Other-Govt",216851,"Bachelors",13,"Married","Other-Occupations","Husband","White","Male",40," United-States",1,"cat_4"
"27",27,19,"Private",168294,"HS-grad",9,"Not-Married","Blue-Collar","Own-child","White","Male",40," United-States",0,"cat_1"
"29",29,39,"Private",367260,"HS-grad",9,"Not-Married","White-Collar","Not-in-family","White","Male",80," United-States",0,"cat_3"
"30",30,49,"Private",193366,"HS-grad",9,"Married","Blue-Collar","Husband","White","Male",40," United-States",0,"cat_4"
"31",31,23,"Other-Govt",190709,"Assoc-acdm",12,"Not-Married","Other-Occupations","Not-in-family","White","Male",52," United-States",0,"cat_2"
"32",32,20,"Private",266015,"Some-college",10,"Not-Married","Sales","Own-child","Black","Male",44," United-States",0,"cat_1"
"33",33,45,"Private",386940,"Bachelors",13,"Not-Married","White-Collar","Own-child","White","Male",40," United-States",0,"cat_3"
"34",34,30,"Federal-Govt",59951,"Some-college",10,"Married","Admin","Own-child","White","Male",40," United-States",0,"cat_2"
"35",35,22,"Other-Govt",311512,"Some-college",10,"Married","Service","Husband","Black","Male",15," United-States",0,"cat_2"
"36",36,48,"Private",242406,"11th",7,"Not-Married","Blue-Collar","Unmarried","White","Male",40," Puerto-Rico",0,"cat_4"
"37",37,21,"Private",197200,"Some-college",10,"Not-Married","Blue-Collar","Own-child","White","Male",40," United-States",0,"cat_2"
"38",38,19,"Private",544091,"HS-grad",9,"Married","Admin","Wife","White","Female",25," United-States",0,"cat_1"
"39",39,31,"Private",84154,"Some-college",10,"Married","Sales","Husband","White","Male",38," ?",1,"cat_2"
"40",40,48,"Self-Employed",265477,"Assoc-acdm",12,"Married","Professional","Husband","White","Male",40," United-States",0,"cat_4"
"41",41,31,"Private",507875,"9th",5,"Married","Blue-Collar","Husband","White","Male",43," United-States",0,"cat_2"
"42",42,53,"Self-Employed",88506,"Bachelors",13,"Married","Professional","Husband","White","Male",40," United-States",0,"cat_4"
"43",43,24,"Private",172987,"Bachelors",13,"Married","Other-Occupations","Husband","White","Male",50," United-States",0,"cat_2"
"44",44,49,"Private",94638,"HS-grad",9,"Not-Married","Admin","Unmarried","White","Female",40," United-States",0,"cat_4"
"45",45,25,"Private",289980,"HS-grad",9,"Not-Married","Blue-Collar","Not-in-family","White","Male",35," United-States",0,"cat_2"
"46",46,57,"Federal-Govt",337895,"Bachelors",13,"Married","Professional","Husband","Black","Male",40," United-States",1,"cat_4"
"47",47,53,"Private",144361,"HS-grad",9,"Married","Blue-Collar","Husband","White","Male",38," United-States",0,"cat_4"
"48",48,44,"Private",128354,"Masters",14,"Not-Married","White-Collar","Unmarried","White","Female",40," United-States",0,"cat_3"
"49",49,41,"Other-Govt",101603,"Assoc-voc",11,"Married","Blue-Collar","Husband","White","Male",40," United-States",0,"cat_3"
"50",50,29,"Private",271466,"Assoc-voc",11,"Not-Married","Professional","Not-in-family","White","Male",43," United-States",0,"cat_2"
"51",51,25,"Private",32275,"Some-college",10,"Married","White-Collar","Wife","Other","Female",40," United-States",0,"cat_2"
"52",52,18,"Private",226956,"HS-grad",9,"Not-Married","Service","Own-child","White","Female",30," ?",0,"cat_1"
"53",53,47,"Private",51835,"Prof-school",15,"Married","Professional","Wife","White","Female",60," Honduras",1,"cat_4"
"54",54,50,"Federal-Govt",251585,"Bachelors",13,"Not-Married","White-Collar","Not-in-family","White","Male",55," United-States",1,"cat_4"
"55",55,47,"Self-Employed",109832,"HS-grad",9,"Not-Married","White-Collar","Not-in-family","White","Male",60," United-States",0,"cat_4"
"56",56,43,"Private",237993,"Some-college",10,"Married","Other-Occupations","Husband","White","Male",40," United-States",1,"cat_3"
"57",57,46,"Private",216666,"5th-6th",3,"Married","Blue-Collar","Husband","White","Male",40," Mexico",0,"cat_4"
"58",58,35,"Private",56352,"Assoc-voc",11,"Married","Service","Husband","White","Male",40," Puerto-Rico",0,"cat_3"
"59",59,41,"Private",147372,"HS-grad",9,"Married","Admin","Husband","White","Male",48," United-States",0,"cat_3"
"60",60,30,"Private",188146,"HS-grad",9,"Married","Blue-Collar","Husband","White","Male",40," United-States",0,"cat_2"
"61",61,30,"Private",59496,"Bachelors",13,"Married","Sales","Husband","White","Male",40," United-States",0,"cat_2"
"63",63,48,"Private",149640,"HS-grad",9,"Married","Blue-Collar","Husband","White","Male",40," United-States",0,"cat_4"
"64",64,42,"Private",116632,"Doctorate",16,"Married","Professional","Husband","White","Male",45," United-States",1,"cat_3"
"65",65,29,"Private",105598,"Some-college",10,"Not-Married","Other-Occupations","Not-in-family","White","Male",58," United-States",0,"cat_2"
"66",66,36,"Private",155537,"HS-grad",9,"Married","Blue-Collar","Husband","White","Male",40," United-States",0,"cat_3"
"67",67,28,"Private",183175,"Some-college",10,"Not-Married","Admin","Not-in-family","White","Female",40," United-States",0,"cat_2"
"68",68,53,"Private",169846,"HS-grad",9,"Married","Admin","Wife","White","Female",40," United-States",1,"cat_4"
"69",69,49,"Self-Employed",191681,"Some-college",10,"Married","White-Collar","Husband","White","Male",50," United-States",1,"cat_4"
"71",71,19,"Private",101509,"Some-college",10,"Not-Married","Professional","Own-child","White","Male",32," United-States",0,"cat_1"
"72",72,31,"Private",309974,"Bachelors",13,"Not-Married","Sales","Own-child","Black","Female",40," United-States",0,"cat_2"
"73",73,29,"Self-Employed",162298,"Bachelors",13,"Married","Sales","Husband","White","Male",70," United-States",1,"cat_2"
"74",74,23,"Private",211678,"Some-college",10,"Not-Married","Blue-Collar","Not-in-family","White","Male",40," United-States",0,"cat_2"
"75",75,79,"Private",124744,"Some-college",10,"Married","Professional","Other-relative","White","Male",20," United-States",0,"cat_5"
"76",76,27,"Private",213921,"HS-grad",9,"Not-Married","Service","Own-child","White","Male",40," Mexico",0,"cat_2"
"77",77,40,"Private",32214,"Assoc-acdm",12,"Married","Admin","Husband","White","Male",40," United-States",0,"cat_3"
"79",79,18,"Private",309634,"11th",7,"Not-Married","Service","Own-child","White","Female",22," United-States",0,"cat_1"
"80",80,31,"Other-Govt",125927,"7th-8th",4,"Married","Blue-Collar","Husband","White","Male",40," United-States",0,"cat_2"
"81",81,18,"Private",446839,"HS-grad",9,"Not-Married","Sales","Not-in-family","White","Male",30," United-States",0,"cat_1"
"82",82,52,"Private",276515,"Bachelors",13,"Married","Service","Husband","White","Male",40," Cuba",0,"cat_4"
"83",83,46,"Private",51618,"HS-grad",9,"Married","Service","Wife","White","Female",40," United-States",0,"cat_4"
"84",84,59,"Private",159937,"HS-grad",9,"Married","Sales","Husband","White","Male",48," United-States",0,"cat_4"
"85",85,44,"Private",343591,"HS-grad",9,"Not-Married","Blue-Collar","Not-in-family","White","Female",40," United-States",1,"cat_3"
"86",86,53,"Private",346253,"HS-grad",9,"Not-Married","Sales","Own-child","White","Female",35," United-States",0,"cat_4"
"87",87,49,"Other-Govt",268234,"HS-grad",9,"Married","Other-Occupations","Husband","White","Male",40," United-States",1,"cat_4"
"88",88,33,"Private",202051,"Masters",14,"Married","Professional","Husband","White","Male",50," United-States",0,"cat_2"
"89",89,30,"Private",54334,"9th",5,"Not-Married","Sales","Not-in-family","White","Male",40," United-States",0,"cat_2"
"90",90,43,"Federal-Govt",410867,"Doctorate",16,"Not-Married","Professional","Not-in-family","White","Female",50," United-States",1,"cat_3"
"91",91,57,"Private",249977,"Assoc-voc",11,"Married","Professional","Husband","White","Male",40," United-States",0,"cat_4"
"92",92,37,"Private",286730,"Some-college",10,"Not-Married","Blue-Collar","Unmarried","White","Female",40," United-States",0,"cat_3"
"93",93,28,"Private",212563,"Some-college",10,"Not-Married","Blue-Collar","Unmarried","Black","Female",25," United-States",0,"cat_2"
"94",94,30,"Private",117747,"HS-grad",9,"Married","Sales","Wife","Asian-Pac-Islander","Female",35," ?",0,"cat_2"
"95",95,34,"Other-Govt",226296,"Bachelors",13,"Married","Other-Occupations","Husband","White","Male",40," United-States",1,"cat_2"
"96",96,29,"Other-Govt",115585,"Some-college",10,"Not-Married","Blue-Collar","Not-in-family","White","Male",50," United-States",0,"cat_2"
"97",97,48,"Self-Employed",191277,"Doctorate",16,"Married","Professional","Husband","White","Male",60," United-States",1,"cat_4"
"98",98,37,"Private",202683,"Some-college",10,"Married","Sales","Husband","White","Male",48," United-States",1,"cat_3"
"99",99,48,"Private",171095,"Assoc-acdm",12,"Not-Married","White-Collar","Unmarried","White","Female",40," England",0,"cat_4"
"100",100,32,"Federal-Govt",249409,"HS-grad",9,"Not-Married","Service","Own-child","Black","Male",40," United-States",0,"cat_2"
"101",101,76,"Private",124191,"Masters",14,"Married","White-Collar","Husband","White","Male",40," United-States",1,"cat_5"
"102",102,44,"Private",198282,"Bachelors",13,"Married","White-Collar","Husband","White","Male",60," United-States",1,"cat_3"
"103",103,47,"Self-Employed",149116,"Masters",14,"Not-Married","Professional","Not-in-family","White","Female",50," United-States",0,"cat_4"
"104",104,20,"Private",188300,"Some-college",10,"Not-Married","Other-Occupations","Own-child","White","Female",40," United-States",0,"cat_1"
"105",105,29,"Private",103432,"HS-grad",9,"Not-Married","Blue-Collar","Not-in-family","White","Male",40," United-States",0,"cat_2"
"106",106,32,"Self-Employed",317660,"HS-grad",9,"Married","Blue-Collar","Husband","White","Male",40," United-States",1,"cat_2"
"108",108,30,"Private",194901,"11th",7,"Not-Married","Blue-Collar","Own-child","White","Male",40," United-States",0,"cat_2"
"109",109,31,"Other-Govt",189265,"HS-grad",9,"Not-Married","Admin","Not-in-family","White","Female",40," United-States",0,"cat_2"
"110",110,42,"Private",124692,"HS-grad",9,"Married","Blue-Collar","Husband","White","Male",40," United-States",0,"cat_3"
"111",111,24,"Private",432376,"Bachelors",13,"Not-Married","Sales","Other-relative","White","Male",40," United-States",0,"cat_2"
"112",112,38,"Private",65324,"Prof-school",15,"Married","Professional","Husband","White","Male",40," United-States",1,"cat_3"
"113",113,56,"Self-Employed",335605,"HS-grad",9,"Married","Service","Husband","White","Male",50," Canada",1,"cat_4"
"114",114,28,"Private",377869,"Some-college",10,"Married","Sales","Wife","White","Female",25," United-States",0,"cat_2"
"115",115,36,"Private",102864,"HS-grad",9,"Not-Married","Blue-Collar","Own-child","White","Female",40," United-States",0,"cat_3"
"116",116,53,"Private",95647,"9th",5,"Married","Blue-Collar","Husband","White","Male",50," United-States",0,"cat_4"
"117",117,56,"Self-Employed",303090,"Some-college",10,"Married","Sales","Husband","White","Male",50," United-States",0,"cat_4"
"118",118,49,"Other-Govt",197371,"Assoc-voc",11,"Married","Blue-Collar","Husband","Black","Male",40," United-States",1,"cat_4"
"119",119,55,"Private",247552,"Some-college",10,"Married","Sales","Husband","White","Male",56," United-States",0,"cat_4"
"120",120,22,"Private",102632,"HS-grad",9,"Not-Married","Blue-Collar","Not-in-family","White","Male",41," United-States",0,"cat_2"
"121",121,21,"Private",199915,"Some-college",10,"Not-Married","Service","Own-child","White","Female",40," United-States",0,"cat_2"
"122",122,40,"Private",118853,"Bachelors",13,"Married","White-Collar","Husband","White","Male",60," United-States",0,"cat_3"
"123",123,30,"Private",77143,"Bachelors",13,"Not-Married","White-Collar","Own-child","Black","Male",40," Germany",0,"cat_2"
"124",124,29,"Other-Govt",267989,"Bachelors",13,"Married","Professional","Husband","White","Male",50," United-States",1,"cat_2"
"125",125,19,"Private",301606,"Some-college",10,"Not-Married","Service","Own-child","Black","Male",35," United-States",0,"cat_1"
"126",126,47,"Private",287828,"Bachelors",13,"Married","White-Collar","Wife","White","Female",40," United-States",1,"cat_4"
"127",127,20,"Private",111697,"Some-college",10,"Not-Married","Admin","Own-child","White","Female",28," United-States",0,"cat_1"
"128",128,31,"Private",114937,"Assoc-acdm",12,"Married","Admin","Husband","White","Male",40," United-States",1,"cat_2"
"130",130,39,"Private",365739,"Some-college",10,"Not-Married","Blue-Collar","Not-in-family","White","Male",40," United-States",0,"cat_3"
"131",131,28,"Private",69621,"Assoc-acdm",12,"Not-Married","Sales","Not-in-family","White","Female",60," United-States",0,"cat_2"
"132",132,24,"Private",43323,"HS-grad",9,"Not-Married","Service","Not-in-family","White","Female",40," United-States",0,"cat_2"
"133",133,38,"Self-Employed",120985,"HS-grad",9,"Married","Blue-Collar","Husband","White","Male",35," United-States",0,"cat_3"
"134",134,37,"Private",254202,"Bachelors",13,"Married","Sales","Husband","White","Male",50," United-States",0,"cat_3"
"135",135,46,"Private",146195,"Assoc-acdm",12,"Not-Married","Other-Occupations","Not-in-family","Black","Female",36," United-States",0,"cat_4"
"136",136,38,"Federal-Govt",125933,"Masters",14,"Married","Professional","Husband","White","Male",40," Iran",1,"cat_3"
"137",137,43,"Self-Employed",56920,"HS-grad",9,"Married","Blue-Collar","Husband","White","Male",60," United-States",0,"cat_3"
"138",138,27,"Private",163127,"Assoc-voc",11,"Married","Admin","Wife","White","Female",35," United-States",0,"cat_2"
"139",139,20,"Private",34310,"Some-college",10,"Not-Married","Sales","Own-child","White","Male",20," United-States",0,"cat_1"
"140",140,49,"Private",81973,"Some-college",10,"Married","Blue-Collar","Husband","Asian-Pac-Islander","Male",40," United-States",1,"cat_4"
"141",141,61,"Self-Employed",66614,"HS-grad",9,"Married","Blue-Collar","Husband","White","Male",40," United-States",0,"cat_4"
"142",142,27,"Private",232782,"Some-college",10,"Not-Married","Sales","Own-child","White","Female",40," United-States",0,"cat_2"
"143",143,19,"Private",316868,"Some-college",10,"Not-Married","Service","Own-child","White","Male",30," Mexico",0,"cat_1"
"144",144,45,"Private",196584,"Assoc-voc",11,"Not-Married","Professional","Not-in-family","White","Female",40," United-States",1,"cat_3"
"145",145,70,"Private",105376,"Some-college",10,"Not-Married","Other-Occupations","Other-relative","White","Male",40," United-States",0,"cat_5"
"146",146,31,"Private",185814,"HS-grad",9,"Not-Married","Blue-Collar","Unmarried","Black","Female",30," United-States",0,"cat_2"
"147",147,22,"Private",175374,"Some-college",10,"Married","Service","Husband","White","Male",24," United-States",0,"cat_2"
"148",148,36,"Private",108293,"HS-grad",9,"Widowed","Service","Unmarried","White","Female",24," United-States",0,"cat_3"
"149",149,64,"Private",181232,"11th",7,"Married","Blue-Collar","Husband","White","Male",40," United-States",0,"cat_4"
"151",151,47,"Other-Govt",186009,"Some-college",10,"Not-Married","Admin","Unmarried","White","Female",38," Mexico",0,"cat_4"
"152",152,34,"Private",198183,"HS-grad",9,"Not-Married","Admin","Not-in-family","White","Female",40," United-States",0,"cat_2"
"153",153,33,"Private",163003,"Bachelors",13,"Not-Married","White-Collar","Other-relative","Asian-Pac-Islander","Female",40," Philippines",0,"cat_2"
"154",154,21,"Private",296158,"HS-grad",9,"Not-Married","Blue-Collar","Own-child","White","Male",35," United-States",0,"cat_2"
"156",156,48,"Private",187715,"HS-grad",9,"Married","Blue-Collar","Husband","White","Male",46," United-States",0,"cat_4"
"157",157,23,"Private",214542,"Bachelors",13,"Not-Married","Blue-Collar","Not-in-family","White","Male",40," United-States",0,"cat_2"
"158",158,71,"Self-Employed",494223,"Some-college",10,"Not-Married","Sales","Unmarried","Black","Male",2," United-States",0,"cat_5"
"159",159,29,"Private",191535,"HS-grad",9,"Not-Married","Blue-Collar","Not-in-family","White","Male",60," United-States",0,"cat_2"
"160",160,42,"Private",228456,"Bachelors",13,"Not-Married","Service","Other-relative","Black","Male",50," United-States",0,"cat_3"
"162",162,25,"Private",252752,"HS-grad",9,"Not-Married","Service","Unmarried","White","Female",40," United-States",0,"cat_2"
"163",163,44,"Self-Employed",78374,"Masters",14,"Not-Married","White-Collar","Unmarried","Asian-Pac-Islander","Female",40," United-States",0,"cat_3"
"164",164,28,"Private",88419,"HS-grad",9,"Not-Married","White-Collar","Not-in-family","Asian-Pac-Islander","Female",40," England",0,"cat_2"
"165",165,45,"Self-Employed",201080,"Masters",14,"Married","Sales","Husband","White","Male",40," United-States",1,"cat_3"
"166",166,36,"Private",207157,"Some-college",10,"Not-Married","Service","Unmarried","White","Female",40," Mexico",0,"cat_3"
"167",167,39,"Federal-Govt",235485,"Assoc-acdm",12,"Not-Married","White-Collar","Not-in-family","White","Male",42," United-States",0,"cat_3"
"168",168,46,"Other-Govt",102628,"Masters",14,"Widowed","Other-Occupations","Unmarried","White","Male",40," United-States",0,"cat_4"
"169",169,18,"Private",25828,"11th",7,"Not-Married","Blue-Collar","Own-child","White","Male",16," United-States",0,"cat_1"
"170",170,66,"Other-Govt",54826,"Assoc-voc",11,"Widowed","Professional","Not-in-family","White","Female",20," United-States",0,"cat_5"
"171",171,27,"Private",124953,"HS-grad",9,"Not-Married","Service","Not-in-family","White","Male",40," United-States",0,"cat_2"
"172",172,28,"Other-Govt",175325,"HS-grad",9,"Married","Other-Occupations","Husband","White","Male",40," United-States",0,"cat_2"
"173",173,51,"Private",96062,"Some-college",10,"Married","Sales","Husband","White","Male",40," United-States",1,"cat_4"
"174",174,27,"Private",428030,"Bachelors",13,"Not-Married","Blue-Collar","Not-in-family","White","Male",50," United-States",0,"cat_2"
"175",175,28,"Other-Govt",149624,"Bachelors",13,"Married","Professional","Husband","White","Male",40," United-States",1,"cat_2"
"176",176,27,"Private",253814,"HS-grad",9,"Not-Married","Sales","Unmarried","White","Female",25," United-States",0,"cat_2"
"177",177,21,"Private",312956,"HS-grad",9,"Not-Married","Blue-Collar","Own-child","Black","Male",40," United-States",0,"cat_2"
"178",178,34,"Private",483777,"HS-grad",9,"Not-Married","Blue-Collar","Not-in-family","Black","Male",40," United-States",0,"cat_2"
"179",179,18,"Private",183930,"HS-grad",9,"Not-Married","Service","Own-child","White","Male",12," United-States",0,"cat_1"
"180",180,33,"Private",37274,"Bachelors",13,"Married","Professional","Husband","White","Male",65," United-States",0,"cat_2"
"181",181,44,"Other-Govt",181344,"Some-college",10,"Married","White-Collar","Husband","Black","Male",38," United-States",1,"cat_3"
"182",182,43,"Private",114580,"Some-college",10,"Not-Married","Admin","Not-in-family","White","Female",40," United-States",0,"cat_3"
"183",183,30,"Private",633742,"Some-college",10,"Not-Married","Blue-Collar","Not-in-family","Black","Male",45," United-States",0,"cat_2"
"184",184,40,"Private",286370,"7th-8th",4,"Married","Blue-Collar","Husband","White","Male",40," Mexico",1,"cat_3"
"185",185,37,"Federal-Govt",29054,"Some-college",10,"Married","Admin","Husband","White","Male",42," United-States",1,"cat_3"
"186",186,34,"Private",304030,"HS-grad",9,"Married","Admin","Husband","Black","Male",40," United-States",0,"cat_2"
"187",187,41,"Self-Employed",143129,"Bachelors",13,"Not-Married","White-Collar","Not-in-family","White","Female",40," United-States",0,"cat_3"
"189",189,31,"Private",99928,"Masters",14,"Married","Professional","Wife","White","Female",50," United-States",0,"cat_2"
"190",190,58,"Other-Govt",109567,"Doctorate",16,"Married","Professional","Husband","White","Male",1," United-States",1,"cat_4"
"191",191,38,"Private",155222,"Some-college",10,"Not-Married","Blue-Collar","Not-in-family","Black","Female",28," United-States",0,"cat_3"
"192",192,24,"Private",159567,"Some-college",10,"Married","Blue-Collar","Husband","White","Male",40," United-States",0,"cat_2"
"193",193,41,"Other-Govt",523910,"Bachelors",13,"Married","Blue-Collar","Husband","Black","Male",40," United-States",0,"cat_3"
"194",194,47,"Private",120939,"Some-college",10,"Married","Other-Occupations","Husband","White","Male",45," United-States",0,"cat_4"
"195",195,41,"Federal-Govt",130760,"Bachelors",13,"Married","Other-Occupations","Husband","White","Male",24," United-States",0,"cat_3"
"196",196,23,"Private",197387,"5th-6th",3,"Married","Blue-Collar","Other-relative","White","Male",40," Mexico",0,"cat_2"
"197",197,36,"Private",99374,"Some-college",10,"Not-Married","Blue-Collar","Not-in-family","White","Male",40," United-States",0,"cat_3"
"198",198,40,"Federal-Govt",56795,"Masters",14,"Not-Married","White-Collar","Not-in-family","White","Female",55," United-States",1,"cat_3"
"199",199,35,"Private",138992,"Masters",14,"Married","Professional","Other-relative","White","Male",40," United-States",1,"cat_3"
"200",200,24,"Self-Employed",32921,"HS-grad",9,"Not-Married","Sales","Not-in-family","White","Male",40," United-States",0,"cat_2"
"201",201,26,"Private",397317,"Masters",14,"Not-Married","Professional","Not-in-family","White","Female",40," United-States",0,"cat_2"
"203",203,51,"Private",259323,"Bachelors",13,"Married","White-Collar","Husband","White","Male",50," United-States",1,"cat_4"
"204",204,42,"Other-Govt",254817,"Some-college",10,"Not-Married","Professional","Not-in-family","White","Female",40," United-States",0,"cat_3"
"205",205,37,"Other-Govt",48211,"HS-grad",9,"Not-Married","Admin","Unmarried","White","Female",35," United-States",0,"cat_3"
"206",206,18,"Private",140164,"11th",7,"Not-Married","Sales","Own-child","White","Female",40," United-States",0,"cat_1"
"207",207,36,"Private",128757,"Bachelors",13,"Married","Service","Husband","Black","Male",36," United-States",1,"cat_3"
"208",208,35,"Private",36270,"HS-grad",9,"Not-Married","Blue-Collar","Not-in-family","White","Male",60," United-States",0,"cat_3"
"209",209,58,"Self-Employed",210563,"HS-grad",9,"Married","Sales","Wife","White","Female",35," United-States",1,"cat_4"
"210",210,17,"Private",65368,"11th",7,"Not-Married","Sales","Own-child","White","Female",12," United-States",0,"cat_1"
"211",211,44,"Other-Govt",160943,"HS-grad",9,"Married","Blue-Collar","Husband","Black","Male",40," United-States",0,"cat_3"
"212",212,37,"Private",208358,"HS-grad",9,"Married","Blue-Collar","Husband","White","Male",40," United-States",1,"cat_3"
"213",213,35,"Private",153790,"Some-college",10,"Not-Married","Sales","Not-in-family","Amer-Indian-Eskimo","Female",40," United-States",0,"cat_3"
"214",214,60,"Private",85815,"HS-grad",9,"Married","Blue-Collar","Husband","Asian-Pac-Islander","Male",40," United-States",0,"cat_4"
"215",215,54,"Self-Employed",125417,"7th-8th",4,"Married","Blue-Collar","Husband","White","Male",40," United-States",1,"cat_4"
"216",216,37,"Private",635913,"Bachelors",13,"Not-Married","White-Collar","Not-in-family","Black","Male",60," United-States",1,"cat_3"
"217",217,50,"Private",313321,"Assoc-acdm",12,"Not-Married","Sales","Not-in-family","White","Female",40," United-States",0,"cat_4"
"218",218,38,"Private",182609,"Bachelors",13,"Married","Sales","Husband","White","Male",50," Poland",0,"cat_3"
"219",219,45,"Private",109434,"Bachelors",13,"Married","Professional","Husband","White","Male",55," United-States",0,"cat_3"
"220",220,25,"Private",255004,"10th",6,"Not-Married","Blue-Collar","Not-in-family","White","Male",40," United-States",0,"cat_2"
"221",221,31,"Private",197860,"Some-college",10,"Married","Blue-Collar","Husband","White","Male",40," United-States",0,"cat_2"
"223",223,90,"Private",51744,"HS-grad",9,"Not-Married","Service","Not-in-family","Black","Male",40," United-States",0,"cat_5"
"224",224,54,"Private",176681,"HS-grad",9,"Married","Admin","Husband","Black","Male",20," United-States",0,"cat_4"
"225",225,53,"Other-Govt",140359,"Preschool",1,"Not-Married","Blue-Collar","Not-in-family","White","Female",35," United-States",0,"cat_4"
"226",226,18,"Private",243313,"HS-grad",9,"Not-Married","Sales","Own-child","White","Female",40," United-States",0,"cat_1"
"228",228,66,"Self-Employed",167687,"HS-grad",9,"Married","Blue-Collar","Husband","White","Male",50," United-States",0,"cat_5"
"229",229,75,"Private",314209,"Assoc-voc",11,"Widowed","Admin","Not-in-family","White","Female",20," Columbia",0,"cat_5"
"230",230,65,"Private",176796,"HS-grad",9,"Not-Married","Admin","Not-in-family","White","Female",40," United-States",0,"cat_4"
"231",231,35,"Private",538583,"11th",7,"Not-Married","Blue-Collar","Not-in-family","Black","Male",40," United-States",0,"cat_3"
"232",232,41,"Private",130408,"HS-grad",9,"Not-Married","Sales","Unmarried","Black","Female",38," United-States",0,"cat_3"
"233",233,25,"Private",159732,"Some-college",10,"Not-Married","Admin","Not-in-family","White","Male",42," United-States",0,"cat_2"
"234",234,33,"Private",110978,"Some-college",10,"Not-Married","Blue-Collar","Other-relative","Other","Female",40," United-States",0,"cat_2"
"235",235,28,"Private",76714,"Prof-school",15,"Not-Married","Professional","Not-in-family","White","Male",55," United-States",1,"cat_2"
"236",236,59,"Other-Govt",268700,"HS-grad",9,"Married","Service","Husband","White","Male",40," United-States",0,"cat_4"
"237",237,40,"Other-Govt",170525,"Some-college",10,"Not-Married","Admin","Not-in-family","White","Female",38," United-States",0,"cat_3"
"238",238,41,"Private",180138,"Bachelors",13,"Married","White-Collar","Husband","White","Male",50," Iran",1,"cat_3"
"239",239,38,"Other-Govt",115076,"Masters",14,"Married","White-Collar","Husband","White","Male",70," United-States",1,"cat_3"
"240",240,23,"Private",115458,"HS-grad",9,"Not-Married","Blue-Collar","Own-child","White","Male",40," United-States",0,"cat_2"
"241",241,40,"Private",347890,"Bachelors",13,"Married","Professional","Husband","White","Male",40," United-States",1,"cat_3"
